마자,84,183
사차,50,193
라가,69,185
가가,56,170
사아,95,170
파파,86,151
타파,87,184
바사,80,173
타가,85,155
라자,75,177
사카,40,154
사마,76,153
카자,50,147
가라,75,180
차차,52,184
아카,90,146
가바,58,167
다사,81,197
아카,85,160
라하,82,150
아가,77,143
아자,53,143
파하,99,142
마나,76,192
라나,53,179
사아,43,161
자가,40,191
아가,81,172
가다,59,183
카차,77,143
아파,58,166
하파,59,192
하라,45,177
카자,57,151
차마,40,151
하파,77,173
나아,98,160
타자,91,154
차하,82,155
라바,79,161
파차,67,192
바나,45,185
자다,98,172
자나,81,180
가라,64,174
아타,76,170
